title_year,title,year,description,language,genres,stars,formatted_length,ratings,votes
The Girl with the Red Scarf (1978),The Girl with the Red Scarf,1978,,,"Drama , Romance",,90,8.5,4664
The Broken Landlord (1985),The Broken Landlord,1985,,,"Comedy , Drama",,0,8.5,3898
Mr. Muhsin (1987),Mr. Muhsin,1987,,,Drama,,145,8.5,2900
Satantango (1994),Satantango,1994,,,"Comedy , Drama , Mystery",,450,8.5,2698
Balkan Spy (1984),Balkan Spy,1984,,,Comedy,,95,8.5,2367
The Turin Horse (2011),The Turin Horse,2011,,,Drama,,146,8.5,1389
Braveheart (1995),Braveheart,1995,,,"Action , Biography , Drama , History , War",,177,8.4,281446
The Prestige (2006),The Prestige,2006,,,"Drama , Mystery , Thriller",,130,8.4,258396
Reservoir Dogs (1992),Reservoir Dogs,1992,,,"Crime , Mystery , Thriller",,99,8.4,247390
The Green Mile (1999),The Green Mile,1999,,,"Crime , Drama , Fantasy , Mystery",,189,8.4,243660
Inglourious Basterds (2009),Inglourious Basterds,2009,,,"Adventure , Drama , War",,153,8.4,240995
Gladiator (2000),Gladiator,2000,,,"Action , Adventure , Drama",,155,8.4,334107
Back to the Future (1985),Back to the Future,1985,,,"Adventure , Family , Sci-Fi",,116,8.4,244444
L.A. Confidential (1997),L.A. Confidential,1997,,,"Crime , Drama , Mystery , Thriller",,138,8.4,187115
Pan's Labyrinth (2006),Pan's Labyrinth,2006,,,"Drama , Fantasy , Mystery",,0,8.4,186080
Full Metal Jacket (1987),Full Metal Jacket,1987,,,"Drama , War",,116,8.4,179718
Monty Python and the Holy Grail (1975),Monty Python and the Holy Grail,1975,,,"Adventure , Comedy",,91,8.4,175723
2001: A Space Odyssey (1968),2001: A Space Odyssey,1968,,,"Adventure , Mystery , Sci-Fi",,141,8.4,183207
Amadeus (1984),Amadeus,1984,,,"Biography , Drama , Music",,160,8.4,113010
Oldboy (2003),Oldboy,2003,,,"Drama , Mystery , Thriller",,120,8.4,119238
Raging Bull (1980),Raging Bull,1980,,,"Biography , Drama , Sport",,129,8.4,104370
Downfall (2004),Downfall,2004,,,"Biography , Drama , History , War",,156,8.4,98859
Chinatown (1974),Chinatown,1974,,,"Crime , Drama , Mystery , Thriller",,130,8.4,90831
Once Upon a Time in America (1984),Once Upon a Time in America,1984,,,"Crime , Drama",,229,8.4,85533
Princess Mononoke (1997),Princess Mononoke,1997,,,"Animation , Adventure , Fantasy",,134,8.4,77859
Some Like It Hot (1959),Some Like It Hot,1959,,,Comedy,,120,8.4,77523
The Sting (1973),The Sting,1973,,,"Comedy , Crime , Drama",,129,8.4,76154
The Elephant Man (1980),The Elephant Man,1980,,,"Biography , Drama , History",,124,8.4,68674
The Bridge on the River Kwai (1957),The Bridge on the River Kwai,1957,,,"Adventure , Drama , War",,161,8.4,67257
Singin' in the Rain (1952),Singin' in the Rain,1952,,,"Comedy , Musical , Romance",,103,8.4,63655
On the Waterfront (1954),On the Waterfront,1954,,,"Crime , Drama",,108,8.4,47295
Rashomon (1950),Rashomon,1950,,,"Crime , Drama , Mystery",,88,8.4,46250
The Seventh Seal (1957),The Seventh Seal,1957,,,"Drama , Fantasy",,96,8.4,44578
Grave of the Fireflies (1988),Grave of the Fireflies,1988,,,"Animation , Drama , War",,89,8.4,42547
The Apartment (1960),The Apartment,1960,,,"Romance , Comedy , Drama",,125,8.4,42798
Yojimbo (1961),Yojimbo,1961,,,"Action , Crime , Drama , Thriller",,110,8.4,33878
Wild Strawberries (1957),Wild Strawberries,1957,,,Drama,,91,8.4,25487
Witness for the Prosecution (1957),Witness for the Prosecution,1957,,,"Crime , Drama , Mystery , Thriller",,116,8.4,21447
Elite Squad 2 (2010),Elite Squad 2,2010,,,"Action , Crime , Drama , Thriller",,115,8.4,9060
The Rascals' Class Misses its Grades (1976),The Rascals' Class Misses its Grades,1976,,,Comedy,,0,8.4,6714
Harakiri (1962),Harakiri,1962,,,Drama,,133,8.4,6390
Scenes from a Marriage (1973),Scenes from a Marriage,1973,,,"Drama , Romance",,167,8.4,5501
The Marathon Family (1982),The Marathon Family,1982,,,Comedy,,92,8.4,4812
The Crazy Class Wakes Up (1977),The Crazy Class Wakes Up,1977,,,Comedy,,0,8.4,4812
"Saban, Son of Saban (1977)","Saban, Son of Saban",1977,,,Comedy,,0,8.4,4251
The Dunce Class on Vacation (1978),The Dunce Class on Vacation,1978,,,Comedy,,0,8.4,4188
The Moromete Family (1988),The Moromete Family,1988,,,Drama,,142,8.4,1578
Batman Begins (2005),Batman Begins,2005,,,"Action , Crime , Drama , Thriller",,140,8.3,316613
Sin City (2005),Sin City,2005,,,"Action , Crime , Drama , Thriller",,124,8.3,295014
Star Wars: Episode VI - Return of the Jedi (1983),Star Wars: Episode VI - Return of the Jedi,1983,,,"Action , Adventure , Family , Fantasy , Sci-Fi",,134,8.3,242129
Die Hard (1988),Die Hard,1988,,,"Action , Thriller",,131,8.3,214352
Blade Runner (1982),Blade Runner,1982,,,"Drama , Sci-Fi , Thriller",,117,8.3,210220
Snatch. (2000),Snatch.,2000,,,"Crime , Thriller",,104,8.3,208975
The Lion King (1994),The Lion King,1994,,,"Animation , Adventure , Comedy , Drama , Family , Musical",,89,8.3,173970
Indiana Jones and the Last Crusade (1989),Indiana Jones and the Last Crusade,1989,,,"Action , Adventure",,127,8.3,197347
Fargo (1996),Fargo,1996,,,"Crime , Drama , Thriller",,98,8.3,187498
Heat (1995),Heat,1995,,,"Crime , Drama , Thriller",,170,8.3,169584
Gran Torino (2008),Gran Torino,2008,,,Drama,,116,8.3,168721
Jaws (1975),Jaws,1975,,,Thriller,,124,8.3,161557
Black Swan (2010),Black Swan,2010,,,"Drama , Mystery , Thriller",,108,8.3,150346
Up (2009),Up,2009,,,"Animation , Adventure , Comedy , Drama , Family , Fantasy",,96,8.3,159023
Unforgiven (1992),Unforgiven,1992,,,"Drama , Western",,131,8.3,116986
Hotel Rwanda (2004),Hotel Rwanda,2004,,,"Biography , Drama , History , Thriller , War",,121,8.3,109022
The King's Speech (2010),The King's Speech,2010,,,"Biography , Drama , History",,118,8.3,101232
The Great Escape (1963),The Great Escape,1963,,,"Adventure , Drama , History , War",,172,8.3,71612
For a Few Dollars More (1965),For a Few Dollars More,1965,,,"Action , Crime , Western",,132,8.3,54321
Cool Hand Luke (1967),Cool Hand Luke,1967,,,"Crime , Drama",,126,8.3,52791
Strangers on a Train (1951),Strangers on a Train,1951,,,"Crime , Film-Noir , Mystery , Romance , Thriller",,101,8.3,40104
High Noon (1952),High Noon,1952,,,"Drama , Western",,85,8.3,39101
Ran (1985),Ran,1985,,,"Action , Drama , War",,162,8.3,39096
Touch of Evil (1958),Touch of Evil,1958,,,"Crime , Film-Noir , Thriller",,95,8.3,37104
The Secret in Their Eyes (2009),The Secret in Their Eyes,2009,,,"Drama , Mystery , Romance",,129,8.3,33218
"No Pain, No Gain (2005)","No Pain, No Gain",2005,,,"Comedy , Drama",,0,8.3,23111
Ikiru (1952),Ikiru,1952,,,Drama,,143,8.3,18948
Diabolique (1955),Diabolique,1955,,,"Crime , Mystery , Thriller",,114,8.3,17731
Judgment at Nuremberg (1961),Judgment at Nuremberg,1961,,,"Drama , History",,186,8.3,17027
The Wages of Fear (1953),The Wages of Fear,1953,,,"Drama , Thriller",,131,8.3,16721
The Battle of Algiers (1966),The Battle of Algiers,1966,,,"Drama , History , War",,121,8.3,16482
The Bandit (1996),The Bandit,1996,,,"Action , Crime , Drama , Romance , Thriller",,121,8.3,13288
Like Stars on Earth (2007),Like Stars on Earth,2007,,,"Comedy , Drama",,165,8.3,12624
Tokyo Story (1953),Tokyo Story,1953,,,Drama,,136,8.3,9764
Umberto D. (1952),Umberto D.,1952,,,Drama,,89,8.3,9121
The Best of Youth (2003),The Best of Youth,2003,,,"Drama , Romance",,180,8.3,9110
High and Low (1963),High and Low,1963,,,"Crime , Drama , Thriller",,142,8.3,8603
Philanthropy (2002),Philanthropy,2002,,,"Comedy , Drama",,110,8.3,5396
Rocco and His Brothers (1960),Rocco and His Brothers,1960,,,"Crime , Drama , Sport",,177,8.3,5285
Woman in the Dunes (1964),Woman in the Dunes,1964,,,"Drama , Thriller",,123,8.3,5219
Sansho the Bailiff (1954),Sansho the Bailiff,1954,,,Drama,,124,8.3,4507
A Short Film About Love (1988),A Short Film About Love,1988,,,"Drama , Romance",,86,8.3,4406
"Feyzo, the Polite One (1978)","Feyzo, the Polite One",1978,,,"Comedy , Drama , Romance",,0,8.3,4098
Udaan (2010),Udaan,2010,,,Drama,,134,8.3,3832
Le Trou (1960),Le Trou,1960,,,"Crime , Drama , Thriller",,132,8.3,3785
Devils on the Doorstep (2000),Devils on the Doorstep,2000,,,"Comedy , Drama , War",,139,8.3,2468
Innocence (1997),Innocence,1997,,,Drama,,110,8.3,2402
Zindagi Na Milegi Dobara (2011),Zindagi Na Milegi Dobara,2011,,,"Drama , Romance",,0,8.3,1982
Anand (1971),Anand,1971,,,Drama,,122,8.3,1830
Twelve Chairs (1971),Twelve Chairs,1971,,,Comedy,,161,8.3,1696
My Dear Brother (1973),My Dear Brother,1973,,,Drama,,92,8.3,1403
Don't Let Them Shoot the Kite (1989),Don't Let Them Shoot the Kite,1989,,,Drama,,0,8.3,1369
The Sixth Sense (1999),The Sixth Sense,1999,,,"Drama , Mystery , Thriller",,107,8.2,278210
Kill Bill: Vol. 1 (2003),Kill Bill: Vol. 1,2003,,,"Action , Crime , Thriller",,111,8.2,272983
V for Vendetta (2006),V for Vendetta,2006,,,"Action , Sci-Fi , Thriller",,132,8.2,272272
Donnie Darko (2001),Donnie Darko,2001,,,"Drama , Mystery , Sci-Fi",,113,8.2,246756
No Country for Old Men (2007),No Country for Old Men,2007,,,"Crime , Drama , Thriller",,122,8.2,237275
Slumdog Millionaire (2008),Slumdog Millionaire,2008,,,"Crime , Drama , Romance , Thriller",,120,8.2,220634
Finding Nemo (2003),Finding Nemo,2003,,,"Animation , Adventure , Comedy , Family",,100,8.2,203841
District 9 (2009),District 9,2009,,,"Action , Drama , Sci-Fi , Thriller",,112,8.2,198635
Toy Story (1995),Toy Story,1995,,,"Animation , Adventure , Comedy , Family , Fantasy",,80,8.2,188939
The Bourne Ultimatum (2007),The Bourne Ultimatum,2007,,,"Action , Crime , Thriller",,115,8.2,178311
The Big Lebowski (1998),The Big Lebowski,1998,,,"Comedy , Crime",,117,8.2,210701
Scarface (1983),Scarface,1983,,,"Crime , Drama , Thriller",,170,8.2,182189
Trainspotting (1996),Trainspotting,1996,,,"Crime , Drama",,94,8.2,175993
"Lock, Stock and Two Smoking Barrels (1998)","Lock, Stock and Two Smoking Barrels",1998,,,"Crime , Thriller",,107,8.2,150986
Million Dollar Baby (2004),Million Dollar Baby,2004,,,"Drama , Sport",,132,8.2,171194
Groundhog Day (1993),Groundhog Day,1993,,,"Comedy , Drama , Fantasy , Romance",,101,8.2,162409
There Will Be Blood (2007),There Will Be Blood,2007,,,Drama,,158,8.2,154558
Into the Wild (2007),Into the Wild,2007,,,"Adventure , Biography , Drama",,148,8.2,131590
Platoon (1986),Platoon,1986,,,"Action , Drama , War",,120,8.2,126792
Casino (1995),Casino,1995,,,"Biography , Crime , Drama",,178,8.2,129141
Life of Brian (1979),Life of Brian,1979,,,"Biography , Comedy",,94,8.2,110534
Stand by Me (1986),Stand by Me,1986,,,"Adventure , Drama",,89,8.2,104758
The Deer Hunter (1978),The Deer Hunter,1978,,,"Drama , War",,182,8.2,101624
The Thing (1982),The Thing,1982,,,"Horror , Mystery , Sci-Fi",,109,8.2,95586
The Graduate (1967),The Graduate,1967,,,"Comedy , Drama , Romance",,106,8.2,90251
How to Train Your Dragon (2010),How to Train Your Dragon,2010,,,"Animation , Adventure , Comedy , Drama , Family , Fantasy",,98,8.2,85070
Annie Hall (1977),Annie Hall,1977,,,"Comedy , Drama , Romance",,93,8.2,75798
Amores Perros (2000),Amores Perros,2000,,,"Drama , Thriller",,154,8.2,71376
Butch Cassidy and the Sundance Kid (1969),Butch Cassidy and the Sundance Kid,1969,,,"Adventure , Western",,110,8.2,66419
Ben-Hur (1959),Ben-Hur,1959,,,"Action , Adventure , Drama , History , Romance",,212,8.2,67774
Network (1976),Network,1976,,,Drama,,121,8.2,41267
My Neighbor Totoro (1988),My Neighbor Totoro,1988,,,"Animation , Adventure , Family , Fantasy",,86,8.2,39774
The Manchurian Candidate (1962),The Manchurian Candidate,1962,,,"Drama , Mystery , Thriller",,126,8.2,38595
8\xbd (1963),8\xbd,1963,,,"Drama , Fantasy",,138,8.2,34600
The Night of the Hunter (1955),The Night of the Hunter,1955,,,"Drama , Film-Noir , Thriller",,93,8.2,29855
The Hustler (1961),The Hustler,1961,,,"Drama , Romance , Sport",,134,8.2,29210
The Killing (1956),The Killing,1956,,,"Crime , Film-Noir , Thriller",,85,8.2,28749
The 400 Blows (1959),The 400 Blows,1959,,,"Crime , Drama",,99,8.2,28253
Mary and Max (2009),Mary and Max,2009,,,"Animation , Comedy , Drama",,80,8.2,24706
Who's Afraid of Virginia Woolf? (1966),Who's Afraid of Virginia Woolf?,1966,,,Drama,,131,8.2,23811
Stalag 17 (1953),Stalag 17,1953,,,"Comedy , Drama , War",,120,8.2,23235
La Strada (1954),La Strada,1954,,,Drama,,108,8.2,20721
Persona (1966),Persona,1966,,,"Drama , Fantasy",,85,8.2,20157
3 Idiots (2009),3 Idiots,2009,,,"Comedy , Drama , Musical , Romance",,170,8.2,18130
Fanny and Alexander (1982),Fanny and Alexander,1982,,,"Drama , Fantasy , Mystery",,188,8.2,17085
My Sassy Girl (2001),My Sassy Girl,2001,,,"Comedy , Drama , Romance",,123,8.2,16680
Rang De Basanti (2006),Rang De Basanti,2006,,,"Drama , History",,157,8.2,14716
Nights of Cabiria (1957),Nights of Cabiria,1957,,,"Drama , Romance",,110,8.2,13690
Le Samoura\xef (1967),Le Samoura\xef,1967,,,"Crime , Drama , Mystery , Thriller",,105,8.2,12218
Andrei Rublev (1966),Andrei Rublev,1966,,,"Biography , Drama , History , War",,0,8.2,11701
Raise the Red Lantern (1991),Raise the Red Lantern,1991,,,Drama,,125,8.2,11193
Come and See (1985),Come and See,1985,,,"Drama , War",,136,8.2,10912
Sweet Smell of Success (1957),Sweet Smell of Success,1957,,,"Drama , Film-Noir",,96,8.2,10096
Rififi (1955),Rififi,1955,,,"Crime , Drama , Film-Noir , Thriller",,122,8.2,9692
Dersu Uzala (1975),Dersu Uzala,1975,,,"Adventure , Drama",,144,8.2,9180
Dil Chahta Hai (2001),Dil Chahta Hai,2001,,,"Comedy , Drama",,183,8.2,8964
Ace in the Hole (1951),Ace in the Hole,1951,,,"Drama , Film-Noir",,111,8.2,8486
Swades (2004),Swades,2004,,,Drama,,210,8.2,8068
Viridiana (1961),Viridiana,1961,,,Drama,,90,8.2,7026
Ugetsu (1953),Ugetsu,1953,,,"Drama , Thriller",,94,8.2,6867
The Young and the Damned (1950),The Young and the Damned,1950,,,"Crime , Drama",,85,8.2,6597
Army of Shadows (1969),Army of Shadows,1969,,,"Drama , War",,0,8.2,6323
Andaz Apna Apna (1994),Andaz Apna Apna,1994,,,Comedy,,160,8.2,5875
Incendies (2010),Incendies,2010,,,"Drama , Mystery , War",,130,8.2,5098
A Wednesday (2008),A Wednesday,2008,,,"Drama , Thriller",,104,8.2,4885
A Short Film About Killing (1988),A Short Film About Killing,1988,,,"Crime , Drama",,84,8.2,4519
Michael the Brave (1971),Michael the Brave,1971,,,"Action , Biography , Drama , History , War",,0,8.2,4062
A Moment to Remember (2004),A Moment to Remember,2004,,,"Drama , Romance",,117,8.2,3843
Divorce Italian Style (1961),Divorce Italian Style,1961,,,Comedy,,105,8.2,3882
Delhi Belly (2011),Delhi Belly,2011,,,"Comedy , Crime , Drama",,103,8.2,3509
Samurai Rebellion (1967),Samurai Rebellion,1967,,,Drama,,128,8.2,2905
Khosla's Nest (2006),Khosla's Nest,2006,,,"Comedy , Crime , Drama",,135,8.2,2889
Nayakan (1987),Nayakan,1987,,,"Crime , Drama",,145,8.2,2640
Happy Days (1978),Happy Days,1978,,,"Comedy , Drama , Family , Romance",,92,8.2,1856
The Executioner (1963),The Executioner,1963,,,"Drama , Comedy",,87,8.2,1766
The Lizard (2004),The Lizard,2004,,,Comedy,,115,8.2,1491
My Sweet Little Village (1985),My Sweet Little Village,1985,,,Comedy,,98,8.2,1474
Mimino (1977),Mimino,1977,,,Comedy,,97,8.2,1356
Avatar (2009),Avatar,2009,,,"Action , Adventure , Fantasy , Sci-Fi",,162,8.1,336855
The Terminator (1984),The Terminator,1984,,,"Action , Sci-Fi",,107,8.1,211834
Twelve Monkeys (1995),Twelve Monkeys,1995,,,"Mystery , Sci-Fi , Thriller",,129,8.1,196696
The Incredibles (2004),The Incredibles,2004,,,"Animation , Action , Adventure , Family , Fantasy",,115,8.1,191778
Good Will Hunting (1997),Good Will Hunting,1997,,,Drama,,126,8.1,180850
Star Trek (2009),Star Trek,2009,,,"Action , Adventure , Sci-Fi",,127,8.1,167917
Ratatouille (2007),Ratatouille,2007,,,"Animation , Comedy , Family , Fantasy",,111,8.1,163982
The Princess Bride (1987),The Princess Bride,1987,,,"Adventure , Comedy , Family , Fantasy , Romance",,98,8.1,137798
In Bruges (2008),In Bruges,2008,,,"Crime , Drama , Thriller",,107,8.1,122870
Rocky (1976),Rocky,1976,,,"Drama , Romance , Sport",,119,8.1,120811
The Social Network (2010),The Social Network,2010,,,"Biography , Drama",,120,8.1,136871
The Exorcist (1973),The Exorcist,1973,,,"Horror , Mystery , Thriller",,122,8.1,124786
The Wrestler (2008),The Wrestler,2008,,,"Drama , Romance , Sport",,109,8.1,119191
Let the Right One In (2008),Let the Right One In,2008,,,"Drama , Fantasy , Romance",,115,8.1,77163
Dog Day Afternoon (1975),Dog Day Afternoon,1975,,,"Crime , Drama",,125,8.1,70482
Gandhi (1982),Gandhi,1982,,,"Biography , Drama , History",,191,8.1,60375
Rosemary's Baby (1968),Rosemary's Baby,1968,,,"Drama , Horror , Mystery",,136,8.1,61676
Howl's Moving Castle (2004),Howl's Moving Castle,2004,,,"Animation , Action , Adventure , Fantasy , Romance",,119,8.1,57334
Before Sunset (2004),Before Sunset,2004,,,"Drama , Romance",,80,8.1,52022
Before Sunrise (1995),Before Sunrise,1995,,,"Drama , Romance",,105,8.1,46877
Manhattan (1979),Manhattan,1979,,,"Comedy , Drama , Romance",,96,8.1,44800
Barry Lyndon (1975),Barry Lyndon,1975,,,"Drama , Romance , War",,184,8.1,45618
Patton (1970),Patton,1970,,,"Biography , Drama , War",,172,8.1,44788
Infernal Affairs (2002),Infernal Affairs,2002,,,"Crime , Mystery , Thriller",,101,8.1,41297
Talk to Her (2002),Talk to Her,2002,,,"Comedy , Drama",,112,8.1,40075
A Streetcar Named Desire (1951),A Streetcar Named Desire,1951,,,"Drama , Romance",,122,8.1,39076
The Diving Bell and the Butterfly (2007),The Diving Bell and the Butterfly,2007,,,"Biography , Drama",,112,8.1,38666
Roman Holiday (1953),Roman Holiday,1953,,,"Comedy , Drama , Romance",,118,8.1,36760
Dial M for Murder (1954),Dial M for Murder,1954,,,"Crime , Mystery , Thriller",,105,8.1,36019
The Wild Bunch (1969),The Wild Bunch,1969,,,"Action , Western",,134,8.1,35575
The Searchers (1956),The Searchers,1956,,,"Adventure , Drama , Western",,119,8.1,32502
La Haine (1995),La Haine,1995,,,Drama,,98,8.1,32124
In the Name of the Father (1993),In the Name of the Father,1993,,,"Biography , Drama",,133,8.1,31350
The Celebration (1998),The Celebration,1998,,,Drama,,105,8.1,30831
In the Mood for Love (2000),In the Mood for Love,2000,,,"Drama , Romance",,98,8.1,29482
Three Colors: Red (1994),Three Colors: Red,1994,,,"Drama , Mystery , Romance",,99,8.1,28076
The Sea Inside (2004),The Sea Inside,2004,,,"Biography , Drama",,125,8.1,27947
Harvey (1950),Harvey,1950,,,"Comedy , Drama , Fantasy",,104,8.1,26683
Castle in the Sky (1986),Castle in the Sky,1986,,,"Animation , Action , Adventure , Family , Fantasy , Romance",,124,8.1,26201
The Man Who Shot Liberty Valance (1962),The Man Who Shot Liberty Valance,1962,,,"Drama , Romance , Western",,123,8.1,26083
Ip Man (2008),Ip Man,2008,,,"Action , Biography , Drama , History",,106,8.1,25144
Nausica\xe4 of the Valley of the Wind (1984),Nausica\xe4 of the Valley of the Wind,1984,,,"Animation , Action , Adventure , Fantasy , Sci-Fi",,117,8.1,25683
Stalker (1979),Stalker,1979,,,"Adventure , Drama , Fantasy , Mystery , Sci-Fi",,163,8.1,24563
"Spring, Summer, Fall, Winter... and Spring (2003)","Spring, Summer, Fall, Winter... and Spring",2003,,,Drama,,103,8.1,22916
La Dolce Vita (1960),La Dolce Vita,1960,,,"Comedy , Drama",,174,8.1,21467
Rio Bravo (1959),Rio Bravo,1959,,,"Western , Romance , Drama",,141,8.1,21123
Sleuth (1972),Sleuth,1972,,,"Mystery , Thriller",,138,8.1,20601
